Volume,MaxStress,x1,x2,y,category
0.021915553,18377.20301,0.002353676,0.004815239,2.115106183,0
0.031101198,12991.02281,0.003331437,0.006803359,2.129376064,0
0.008703972,46119.77322,0.000960913,0.001948435,2.022884691,1
0.03829965,10514.42037,0.004060841,0.008394763,2.145074432,0
0.037291745,10759.9383,0.004219095,0.008331204,1.97792724,0
0.025006105,16302.0198,0.003052664,0.005776596,1.75558793,0
0.031635226,12686.57822,0.003354845,0.006985275,2.129376064,0
0.031292154,12931.98103,0.003319555,0.006985275,2.106102651,0
0.014655835,27644.74782,0.001646187,0.003333088,1.957039439,1
0.02807673,14271.27928,0.003111182,0.006277101,2.018112973,0
0.006880154,58251.62222,0.00080392,0.001553563,1.890978016,0
0.042692099,9390.458162,0.004800608,0.009586173,1.980174744,0
0.041633487,9633.413639,0.004736095,0.009320047,1.962846985,0
0.023521312,17136.88332,0.002747568,0.00535199,1.87678987,0
0.007003697,57315.30138,0.00077133,0.001553563,2.046146423,0
0.010530644,38622.26885,0.001044,0.002255244,2.32214124,1
0.042798217,9374.912535,0.004566247,0.009468466,2.113667925,0
0.006777508,59481.60728,0.00077133,0.001536169,1.937455613,0
0.045168459,8878.26459,0.004821442,0.009987733,2.113802159,0
0.04382499,9163.19613,0.004695993,0.00965878,2.113190047,0
0.0187653,21400.94484,0.00195329,0.004115185,2.179400517,1
0.018765518,21400.42074,0.001953338,0.004115185,2.179400517,1
0.016949155,23794.61783,0.001725146,0.003699563,2.231682536,1
0.027916626,14431.5803,0.003070712,0.006271347,2.022990794,0
0.006031719,67869.69432,0.000762928,0.001395965,1.674999029,0
0.007589926,52740.29872,0.000863739,0.001705493,1.954622562,0
0.010545991,38606.94487,0.001044,0.002255244,2.328052116,1
0.022199724,18148.9563,0.002353676,0.004862861,2.146466791,0
0.02906588,13831.96472,0.003261519,0.006546292,1.978355145,0
0.006804002,59237.67998,0.000764853,0.001509092,2.005342364,0
0.024907348,16381.46107,0.002622288,0.005603497,2.104318691,0
0.014696085,27486.51518,0.001534255,0.003199885,2.188823304,1
0.013314586,30342.11749,0.001611946,0.003044686,1.792365018,1
0.01828283,22025.23504,0.002169095,0.004123068,1.861604505,1
0.015862428,25231.84172,0.001784942,0.0035501,1.985300576,1
0.021445986,18703.39762,0.002462594,0.004839124,1.928175447,0
0.043805252,9194.328168,0.004789986,0.00966142,2.071944159,0
0.051219729,8447.356183,0.004032072,0.009998722,2.952935591,0
0.010660376,37670.8934,0.001228088,0.0023909,1.933402353,1
0.022320752,18001.10679,0.00235539,0.004901151,2.1505285,0
0.044332131,9095.231965,0.004789986,0.009914494,2.06696984,0
0.007125295,57051.55018,0.000768552,0.001549333,2.128140805,0
0.006172905,66406.43913,0.000762928,0.00143404,1.718634214,0
0.021701101,18521.68898,0.002351036,0.004788527,2.089263945,0
0.024540982,16559.61025,0.002681085,0.005562362,2.018273413,0
0.006293471,64478.95797,0.000748662,0.001406407,1.87341597,0
0.035885077,11150.49484,0.004075048,0.008056132,1.960757816,0
0.044393019,9028.301691,0.004783525,0.009842457,2.090029903,0
